id,source_model,source_state_id,status,concept,duration_ms,loop
B6.04,Sonnet,AGT.ENV.UNREADY,passed,,1600,true
B6.05,Sonnet,AGT.CONF.LOW,passed,,1600,true
B6.06,Sonnet,AGT.HUMAN.GATE,passed,,1800,true
B6.07,Sonnet,AGT.GOAL.DRIFT,passed,,1800,true
B6.08,Sonnet,AGT.RESULT.PARTIAL,revised,Progress fraction,2000,true
B6.09,Sonnet,AGT.STATE.ROLLBACK,passed,,1600,true
B6.10,Sonnet,AGT.TOOL.RETRYING,passed,,1600,true
B6.11,Sonnet,AGT.MEM.KNOWLEDGE_CUTOFF,passed,,1600,true
B6.12,Sonnet,AGT.CTX.RATE_LIMITED,passed,,1600,true
B6.13,Sonnet,AGT.TASK.GOAL_DRIFT,passed,,1800,true
B6.14,Sonnet,AGT.HUMAN.INPUT_REQUIRED,passed,,1200,true
B6.15,Sonnet,AGT.SAFETY.POLICY_BLOCKED,passed,,1400,true
B6.16,Sonnet,AGT.POLICY.BLOCKED,passed,,1400,true
B6.17,Sonnet,AGT.COORD.HANDOFF,passed,,1800,true
B6.18,Sonnet,AGT.PLAN.REVISED,passed,,1800,true
B6.19,Sonnet,AGT.CONTROL.LOOP,passed,,1600,true
B6.20,Sonnet,AGT.COORD.FANOUT,passed,,1600,true
B6.21,Sonnet,AGT.EXEC.SANDBOXED,passed,,2000,true
B6.22,Sonnet,AGT.REASON.LOOP,revised,Degraded / unstable loop,2200,true
B6.23,Sonnet,AGT.EPIST.UNGROUNDED,passed,,1800,true
B6.24,Sonnet,AGT.EPIST.KNOWLEDGE_CUTOFF,passed,,1600,true
B6.25,Sonnet,AGT.COORD.DELEGATE,passed,,1600,true
B6.26,Sonnet,AGT.COORD.DIVERGENCE,revised,Divergence / fan-out divergence,2000,true
B6.27,Sonnet,AGT.PLAN.GOAL_DRIFT,passed,,1800,true
B6.28,Sonnet,AGT.RES.RATE_LIMITED,passed,,1600,true
